iter	MultiClass
0	2.40093007
1	2.221416246
2	2.080390612
3	1.966391753
4	1.873704257
5	1.790536609
6	1.726735006
7	1.6697737
8	1.619783473
9	1.575772248
10	1.532201145
11	1.497275775
12	1.459955761
13	1.429039504
14	1.402298333
15	1.377329875
16	1.356633143
17	1.336176648
18	1.316786246
19	1.29765597
20	1.279116192
21	1.264553351
22	1.251019258
23	1.238549305
24	1.225987751
25	1.212801039
26	1.202155108
27	1.192349099
28	1.183085517
29	1.173868406
30	1.164265599
31	1.155994358
32	1.147725141
33	1.139782966
34	1.134953463
35	1.127741124
36	1.120672185
37	1.114326143
38	1.107884062
39	1.100975652
40	1.096215685
41	1.090880722
42	1.086134039
43	1.081648266
44	1.076506809
45	1.072604617
46	1.068266333
47	1.063589799
48	1.06021638
49	1.05594855
50	1.052348256
51	1.048471302
52	1.044139637
53	1.040526168
54	1.03743347
55	1.034442536
56	1.031671393
57	1.028090089
58	1.024547009
59	1.020665901
60	1.018177447
61	1.015623625
62	1.011985024
63	1.00972501
64	1.007666856
65	1.005670961
66	1.003422257
67	1.001123482
68	0.9992499511
69	0.9969282627
70	0.9947360451
71	0.9927731009
72	0.9905590141
73	0.9876236993
74	0.9843468099
75	0.982925277
76	0.9804362701
77	0.9780515697
78	0.9755504731
79	0.9741211728
80	0.9720254377
81	0.9693986125
82	0.966955188
83	0.9646539366
84	0.9627781833
85	0.9614702011
86	0.9600323269
87	0.9583451409
88	0.9561657889
89	0.9544292826
90	0.9518473453
91	0.9501556789
92	0.9489799181
93	0.9474094018
94	0.9454711824
95	0.943777964
96	0.94244932
97	0.940741644
98	0.9397816515
99	0.9387976261
100	0.9373805073
101	0.9358343728
102	0.9336850635
103	0.932152661
104	0.9311629854
105	0.930089729
106	0.9281512703
107	0.9270136097
108	0.9258490597
109	0.9246130032
110	0.9231779659
111	0.9211032468
112	0.9196436996
113	0.9184188112
114	0.9173942071
115	0.9158619105
116	0.914859844
117	0.9134867786
118	0.9124290333
119	0.9107942759
120	0.9099467382
121	0.9084653151
122	0.9071124868
123	0.9060242679
124	0.904517397
125	0.9031833231
126	0.9024815319
127	0.9013046808
128	0.9002891428
129	0.8990187977
130	0.8979899002
131	0.8972615362
132	0.8959757233
133	0.8950716544
134	0.8944883355
135	0.8936262374
136	0.8924076735
137	0.8911224453
138	0.8903495349
139	0.8895262251
140	0.8887312766
141	0.8880405327
142	0.8870479838
143	0.8860452127
144	0.8850851428
145	0.8837523457
146	0.8825504194
147	0.8817216891
148	0.8807635239
149	0.8797770278
150	0.8789842841
151	0.8782240027
152	0.8771842144
153	0.8759992967
154	0.8746040443
155	0.873656464
156	0.872579848
157	0.8714338804
158	0.8705738911
159	0.8701043571
160	0.8687867095
161	0.8681080496
162	0.8676094475
163	0.8667459665
164	0.8655696496
165	0.8648945008
166	0.8641661049
167	0.8628790737
168	0.8621189785
169	0.8616495545
170	0.8607950125
171	0.8599411443
