iter	Passed	Remaining
0	33	33199
1	52	26119
2	73	24444
3	91	22889
4	110	22023
5	129	21470
6	148	21087
7	168	20865
8	189	20843
9	207	20545
10	225	20296
11	243	20057
12	261	19890
13	281	19805
14	299	19683
15	318	19612
16	337	19530
17	357	19479
18	375	19407
19	394	19325
20	412	19223
21	430	19132
22	449	19086
23	468	19032
24	486	18982
25	505	18938
26	524	18909
27	543	18880
28	562	18825
29	581	18793
30	599	18754
31	618	18719
32	637	18668
33	655	18611
34	674	18598
35	693	18569
36	713	18559
37	731	18511
38	750	18482
39	768	18449
40	788	18431
41	807	18416
42	826	18403
43	845	18374
44	863	18327
45	883	18314
46	902	18293
47	920	18256
48	938	18223
49	960	18242
50	979	18226
51	998	18198
52	1017	18187
53	1035	18148
54	1055	18128
55	1074	18112
56	1093	18096
57	1111	18057
58	1129	18021
59	1148	17996
60	1167	17966
61	1185	17942
62	1204	17918
63	1224	17913
64	1243	17890
65	1262	17865
66	1281	17839
67	1301	17833
68	1320	17814
69	1338	17778
70	1357	17760
71	1376	17741
72	1395	17722
73	1413	17692
74	1432	17664
75	1452	17661
76	1472	17645
77	1491	17631
78	1512	17631
79	1532	17627
80	1553	17624
81	1573	17618
82	1593	17605
83	1612	17583
84	1632	17570
85	1651	17549
86	1670	17526
87	1689	17507
88	1709	17499
89	1729	17486
90	1748	17462
91	1767	17440
92	1785	17415
93	1805	17397
94	1823	17372
95	1842	17352
96	1861	17326
97	1879	17300
98	1899	17285
99	1917	17255
100	1936	17236
101	1954	17210
102	1974	17191
103	1992	17169
104	2012	17152
105	2030	17129
106	2049	17107
107	2068	17083
108	2087	17063
109	2105	17037
110	2124	17012
111	2142	16985
112	2161	16963
113	2179	16942
114	2199	16928
115	2218	16907
116	2238	16890
117	2256	16865
118	2274	16839
119	2294	16824
120	2313	16807
121	2333	16791
122	2352	16772
123	2371	16751
124	2389	16725
125	2407	16701
126	2426	16680
127	2445	16662
128	2464	16641
129	2483	16619
130	2503	16607
131	2522	16587
132	2541	16568
133	2560	16545
134	2578	16523
135	2598	16508
136	2617	16490
137	2636	16466
138	2655	16450
139	2674	16431
140	2694	16414
141	2713	16394
142	2731	16370
143	2750	16349
144	2769	16327
145	2787	16304
146	2806	16287
147	2826	16271
148	2846	16257
149	2864	16231
150	2883	16211
151	2902	16194
152	2920	16169
153	2939	16149
154	2958	16128
155	2977	16107
156	2996	16091
157	3015	16071
158	3034	16049
159	3053	16029
160	3071	16007
161	3090	15987
162	3110	15971
163	3129	15952
164	3147	15929
165	3166	15907
166	3185	15888
167	3204	15869
168	3222	15846
169	3242	15829
170	3261	15809
171	3279	15788
172	3298	15769
173	3317	15748
174	3336	15727
175	3354	15706
176	3374	15688
177	3392	15665
178	3410	15644
179	3430	15627
180	3449	15608
181	3470	15597
182	3489	15579
183	3509	15562
184	3529	15548
185	3548	15528
186	3566	15506
187	3585	15484
188	3604	15468
189	3623	15449
190	3642	15428
191	3661	15410
192	3681	15393
193	3701	15378
194	3721	15361
195	3741	15346
196	3759	15322
197	3778	15303
198	3797	15283
199	3816	15265
200	3835	15247
201	3854	15225
202	3872	15204
203	3891	15185
204	3911	15168
205	3929	15146
206	3948	15124
207	3967	15106
208	3985	15085
209	4004	15065
210	4024	15050
211	4043	15029
212	4062	15009
213	4080	14988
214	4100	14971
215	4119	14952
216	4139	14934
217	4157	14914
218	4176	14894
219	4195	14873
220	4213	14851
221	4231	14830
222	4250	14810
223	4269	14789
224	4287	14767
225	4306	14749
226	4325	14728
227	4344	14710
228	4363	14691
229	4383	14674
230	4401	14653
231	4419	14631
232	4438	14610
233	4457	14592
234	4475	14569
235	4495	14552
236	4513	14530
237	4532	14511
238	4550	14490
239	4570	14473
240	4589	14453
241	4607	14433
242	4626	14412
243	4645	14393
244	4664	14373
245	4682	14351
246	4700	14329
247	4719	14312
248	4739	14295
249	4759	14277
250	4779	14262
251	4799	14246
252	4817	14224
253	4837	14207
254	4856	14188
255	4875	14168
256	4894	14150
257	4913	14132
258	4933	14113
259	4952	14095
260	4970	14073
261	4988	14052
262	5007	14031
263	5027	14014
264	5045	13994
265	5064	13974
266	5083	13954
267	5102	13936
268	5121	13917
269	5140	13897
270	5159	13878
271	5178	13859
272	5197	13840
273	5216	13820
274	5235	13801
275	5254	13784
276	5273	13763
277	5292	13744
278	5311	13725
279	5329	13705
280	5348	13685
281	5367	13665
282	5386	13646
283	5405	13626
284	5423	13605
285	5441	13585
286	5460	13564
287	5478	13544
288	5497	13523
289	5516	13505
290	5535	13487
291	5554	13467
292	5573	13447
293	5592	13428
294	5611	13410
295	5630	13392
296	5649	13373
297	5668	13353
298	5687	13334
299	5706	13315
300	5725	13296
301	5744	13276
302	5762	13256
303	5782	13237
304	5801	13219
305	5821	13202
306	5841	13185
307	5860	13167
308	5880	13149
309	5897	13127
310	5917	13110
311	5937	13092
312	5955	13072
313	5975	13054
314	5993	13033
315	6013	13015
316	6032	12996
317	6050	12975
318	6068	12955
319	6087	12934
320	6106	12916
321	6125	12898
322	6144	12878
323	6163	12860
324	6182	12841
325	6201	12821
326	6220	12801
327	6239	12783
328	6258	12764
329	6276	12743
330	6294	12722
331	6314	12704
332	6334	12687
333	6352	12667
334	6371	12647
335	6389	12626
336	6408	12607
337	6427	12588
338	6446	12570
339	6465	12550
340	6484	12531
341	6503	12512
342	6521	12491
343	6540	12472
344	6558	12452
345	6577	12432
346	6596	12414
347	6615	12393
348	6633	12373
349	6652	12354
350	6671	12335
351	6690	12316
352	6708	12295
353	6728	12277
354	6746	12258
355	6765	12238
356	6784	12219
357	6803	12200
358	6821	12180
359	6841	12162
360	6861	12144
361	6878	12123
362	6897	12103
363	6916	12084
364	6934	12063
365	6952	12043
366	6971	12024
367	6990	12005
368	7008	11985
369	7028	11967
370	7047	11947
371	7065	11928
372	7085	11910
373	7103	11889
374	7123	11871
375	7141	11851
376	7160	11833
377	7178	11812
378	7197	11793
379	7215	11773
380	7234	11753
381	7252	11733
382	7271	11714
383	7289	11694
384	7308	11674
385	7328	11656
386	7345	11635
387	7363	11614
388	7381	11594
389	7401	11577
390	7421	11559
391	7440	11540
392	7458	11520
393	7477	11501
394	7496	11481
395	7515	11462
396	7533	11443
397	7553	11424
398	7572	11405
399	7591	11386
400	7609	11367
401	7629	11349
402	7648	11330
403	7667	11311
404	7686	11293
405	7706	11274
406	7725	11256
407	7744	11236
408	7763	11217
409	7782	11198
410	7801	11180
411	7820	11161
412	7839	11141
413	7858	11123
414	7876	11103
415	7895	11084
416	7914	11065
417	7934	11047
418	7954	11029
419	7973	11010
420	7992	10991
421	8011	10973
422	8031	10955
423	8050	10936
424	8070	10918
425	8088	10899
426	8107	10880
427	8127	10861
428	8145	10841
429	8163	10821
430	8181	10801
431	8201	10783
432	8219	10763
433	8237	10743
434	8256	10724
435	8275	10704
436	8294	10685
437	8313	10666
438	8333	10649
439	8352	10629
440	8371	10611
441	8390	10592
442	8408	10572
443	8426	10552
444	8444	10532
445	8463	10513
446	8481	10493
447	8501	10474
448	8521	10457
449	8539	10437
450	8559	10419
451	8577	10399
452	8596	10379
453	8616	10362
454	8635	10343
455	8654	10325
456	8673	10305
457	8692	10286
458	8712	10268
459	8731	10250
460	8749	10230
461	8768	10211
462	8787	10191
463	8806	10172
464	8825	10154
465	8845	10136
466	8864	10117
467	8884	10099
468	8903	10080
469	8922	10061
470	8941	10042
471	8959	10022
472	8979	10004
473	8998	9985
474	9017	9966
475	9035	9946
476	9054	9927
477	9072	9907
478	9091	9888
479	9110	9869
480	9128	9849
481	9147	9830
482	9166	9811
483	9184	9791
484	9203	9772
485	9222	9753
486	9240	9734
487	9260	9715
488	9278	9696
489	9298	9678
490	9321	9663
491	9340	9644
492	9359	9625
493	9378	9606
494	9397	9587
495	9417	9569
496	9436	9550
497	9455	9530
498	9473	9511
499	9492	9492
500	9511	9473
501	9530	9454
502	9549	9435
503	9568	9416
504	9586	9397
505	9605	9377
506	9624	9358
507	9643	9340
508	9662	9320
509	9681	9301
510	9699	9282
511	9718	9262
512	9736	9242
513	9754	9223
514	9773	9204
515	9792	9185
516	9810	9165
517	9829	9146
518	9848	9127
519	9868	9108
520	9887	9090
521	9906	9071
522	9925	9052
523	9944	9033
524	9962	9014
525	9981	8994
526	9999	8975
527	10018	8955
528	10037	8936
529	10056	8918
530	10075	8899
531	10094	8880
532	10113	8861
533	10132	8841
534	10151	8823
535	10171	8804
536	10190	8786
537	10209	8767
538	10228	8748
539	10246	8728
540	10266	8710
541	10284	8690
542	10303	8671
543	10323	8653
544	10342	8634
545	10361	8615
546	10380	8596
547	10399	8577
548	10419	8559
549	10438	8540
550	10457	8521
551	10475	8501
552	10493	8482
553	10513	8463
554	10532	8445
555	10550	8425
556	10568	8405
557	10587	8386
558	10605	8366
559	10623	8347
560	10642	8328
561	10662	8309
562	10680	8290
563	10698	8270
564	10716	8250
565	10734	8231
566	10754	8212
567	10773	8193
568	10792	8175
569	10811	8155
570	10830	8136
571	10849	8118
572	10867	8098
573	10885	8078
574	10905	8060
575	10924	8041
576	10942	8022
577	10963	8004
578	10984	7987
579	11004	7968
580	11024	7950
581	11042	7931
582	11061	7912
583	11082	7894
584	11103	7877
585	11123	7858
586	11142	7839
587	11161	7820
588	11180	7801
589	11199	7782
590	11218	7764
591	11238	7745
592	11257	7726
593	11277	7707
594	11295	7688
595	11314	7669
596	11333	7650
597	11352	7631
598	11371	7612
599	11390	7593
600	11411	7576
601	11452	7571
602	11485	7561
603	11503	7542
604	11522	7523
605	11541	7503
606	11560	7484
607	11578	7465
608	11597	7446
609	11617	7427
610	11635	7407
611	11655	7389
612	11674	7370
613	11692	7350
614	11711	7331
615	11730	7312
616	11749	7293
617	11768	7274
618	11788	7255
619	11806	7236
620	11825	7217
621	11844	7198
622	11863	7179
623	11881	7159
624	11900	7140
625	11919	7121
626	11938	7101
627	11957	7083
628	11975	7063
629	11994	7044
630	12013	7025
631	12032	7006
632	12051	6986
633	12069	6967
634	12088	6948
635	12107	6929
636	12126	6910
637	12144	6891
638	12165	6872
639	12184	6853
640	12203	6834
641	12222	6815
642	12242	6797
643	12261	6778
644	12279	6758
645	12297	6739
646	12317	6720
647	12336	6701
648	12356	6682
649	12374	6663
650	12393	6644
651	12411	6624
652	12431	6606
653	12450	6586
654	12469	6567
655	12487	6548
656	12506	6529
657	12525	6510
658	12543	6490
659	12562	6471
660	12581	6452
661	12600	6433
662	12618	6414
663	12638	6395
664	12657	6376
665	12676	6357
666	12694	6337
667	12712	6318
668	12730	6298
669	12749	6279
670	12768	6260
671	12787	6241
672	12806	6222
673	12825	6203
674	12844	6184
675	12862	6164
676	12881	6145
677	12899	6126
678	12919	6107
679	12938	6088
680	12957	6069
681	12976	6050
682	12995	6031
683	13014	6012
684	13033	5993
685	13053	5974
686	13071	5955
687	13090	5936
688	13109	5917
689	13127	5897
690	13146	5878
691	13165	5859
692	13183	5840
693	13203	5821
694	13222	5802
695	13246	5785
696	13275	5771
697	13301	5755
698	13332	5741
699	13362	5726
700	13388	5710
701	13415	5695
702	13438	5677
703	13458	5658
704	13483	5641
705	13504	5623
706	13525	5605
707	13547	5587
708	13568	5569
709	13590	5550
710	13613	5533
711	13634	5515
712	13658	5497
713	13680	5479
714	13699	5460
715	13719	5441
716	13743	5424
717	13766	5406
718	13787	5388
719	13808	5369
720	13831	5352
721	13852	5333
722	13872	5315
723	13895	5297
724	13916	5278
725	13939	5261
726	13962	5243
727	13985	5225
728	14006	5206
729	14031	5189
730	14052	5171
731	14073	5152
732	14096	5134
733	14118	5116
734	14137	5097
735	14157	5078
736	14177	5059
737	14197	5040
738	14217	5021
739	14236	5002
740	14257	4983
741	14278	4964
742	14298	4945
743	14322	4928
744	14343	4909
745	14363	4890
746	14382	4871
747	14401	4851
748	14421	4832
749	14440	4813
750	14460	4794
751	14479	4775
752	14498	4755
753	14518	4736
754	14539	4718
755	14561	4699
756	14583	4681
757	14603	4662
758	14627	4644
759	14649	4626
760	14673	4608
761	14695	4589
762	14715	4570
763	14740	4553
764	14761	4534
765	14783	4516
766	14808	4498
767	14829	4479
768	14851	4461
769	14880	4444
770	14902	4426
771	14921	4406
772	14940	4387
773	14959	4368
774	14979	4348
775	15001	4330
776	15020	4311
777	15041	4292
778	15062	4273
779	15082	4253
780	15103	4235
781	15123	4216
782	15143	4196
783	15165	4178
784	15187	4159
785	15207	4140
786	15226	4121
787	15246	4101
788	15267	4082
789	15286	4063
790	15305	4044
791	15324	4024
792	15343	4005
793	15363	3986
794	15383	3966
795	15403	3947
796	15438	3932
797	15467	3915
798	15486	3895
799	15505	3876
800	15524	3856
801	15543	3837
802	15562	3817
803	15582	3798
804	15600	3779
805	15620	3759
806	15640	3740
807	15659	3720
808	15678	3701
809	15697	3682
810	15716	3662
811	15735	3643
812	15754	3623
813	15773	3604
814	15793	3584
815	15812	3565
816	15831	3546
817	15850	3526
818	15870	3507
819	15889	3487
820	15907	3468
821	15926	3448
822	15944	3429
823	15963	3409
824	15982	3390
825	16002	3370
826	16020	3351
827	16038	3331
828	16057	3312
829	16076	3292
830	16095	3273
831	16114	3253
832	16132	3234
833	16151	3214
834	16170	3195
835	16189	3175
836	16208	3156
837	16227	3136
838	16245	3117
839	16265	3098
840	16284	3078
841	16303	3059
842	16323	3040
843	16342	3020
844	16359	3000
845	16378	2981
846	16396	2961
847	16416	2942
848	16436	2923
849	16455	2903
850	16474	2884
851	16492	2864
852	16512	2845
853	16531	2826
854	16549	2806
855	16568	2787
856	16585	2767
857	16604	2748
858	16623	2728
859	16643	2709
860	16662	2689
861	16681	2670
862	16699	2651
863	16717	2631
864	16737	2612
865	16755	2592
866	16774	2573
867	16793	2553
868	16812	2534
869	16831	2515
870	16849	2495
871	16868	2476
872	16887	2456
873	16907	2437
874	16926	2418
875	16945	2398
876	16964	2379
877	16981	2359
878	17000	2340
879	17018	2320
880	17037	2301
881	17056	2281
882	17074	2262
883	17094	2243
884	17114	2223
885	17132	2204
886	17151	2184
887	17170	2165
888	17189	2146
889	17208	2126
890	17227	2107
891	17247	2088
892	17265	2068
893	17283	2049
894	17302	2029
895	17321	2010
896	17340	1991
897	17360	1971
898	17379	1952
899	17398	1933
900	17415	1913
901	17435	1894
902	17454	1874
903	17473	1855
904	17492	1836
905	17511	1816
906	17529	1797
907	17549	1778
908	17567	1758
909	17586	1739
910	17605	1719
911	17624	1700
912	17643	1681
913	17662	1661
914	17680	1642
915	17699	1623
916	17719	1603
917	17738	1584
918	17756	1565
919	17774	1545
920	17793	1526
921	17811	1506
922	17830	1487
923	17849	1468
924	17868	1448
925	17887	1429
926	17905	1410
927	17924	1390
928	17943	1371
929	17962	1351
930	17980	1332
931	17999	1313
932	18018	1293
933	18036	1274
934	18055	1255
935	18074	1235
936	18092	1216
937	18111	1197
938	18129	1177
939	18148	1158
940	18167	1139
941	18185	1119
942	18205	1100
943	18224	1081
944	18242	1061
945	18261	1042
